khung,mo_hinh,che_do,lot,cat_lo,rr,so_lenh,loi_nhuan_rong,loi_nhuan_pct,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,calmar,ky_vong
M15,Baseline_MACD_EMA,lot co dinh,0.2,30,1.5,864,10300.64,103.01,0.5023,1.123,1.022,1.668,-73.56,0.958,11.92
M15,Baseline_MACD_EMA,lot co dinh,0.2,30,2.0,858,19215.76,192.16,0.507,1.236,1.323,2.242,-73.56,1.689,22.4
M15,Baseline_MACD_EMA,lot co dinh,0.3,5,1.5,558,-8021.58,-80.22,0.4211,0.79,-2.474,-4.659,-80.4,-0.877,-14.38
M15,Baseline_MACD_EMA,lot co dinh,0.3,5,2.0,568,-8060.61,-80.61,0.4102,0.803,-2.14,-4.089,-80.96,-0.876,-14.19
M15,Baseline_MACD_EMA,lot co dinh,0.3,10,1.5,446,-8031.75,-80.32,0.4529,0.781,-1.401,-2.185,-80.32,-0.879,-18.01
M15,Baseline_MACD_EMA,lot co dinh,0.3,10,2.0,469,-8113.35,-81.13,0.452,0.797,-0.897,-1.529,-81.13,-0.882,-17.3
M15,Baseline_MACD_EMA,lot co dinh,0.3,15,1.5,367,-8039.19,-80.39,0.4632,0.726,-1.387,-1.961,-80.39,-0.879,-21.91
M15,Baseline_MACD_EMA,lot co dinh,0.3,15,2.0,321,-8020.53,-80.21,0.4611,0.695,-1.493,-2.148,-80.21,-0.879,-24.99
M15,Baseline_MACD_EMA,lot co dinh,0.3,20,1.5,300,-8189.28,-81.89,0.4733,0.662,-1.613,-1.862,-81.89,-0.884,-27.3
M15,Baseline_MACD_EMA,lot co dinh,0.3,20,2.0,301,-8272.38,-82.72,0.4718,0.664,-1.49,-1.849,-82.72,-0.887,-27.48
M15,Baseline_MACD_EMA,lot co dinh,0.3,25,1.5,270,-8062.65,-80.63,0.4704,0.62,-2.135,-2.041,-80.63,-0.88,-29.86
M15,Baseline_MACD_EMA,lot co dinh,0.3,25,2.0,270,-8062.65,-80.63,0.4704,0.62,-2.135,-2.041,-80.63,-0.88,-29.86
M15,Baseline_MACD_EMA,lot co dinh,0.3,30,1.5,269,-8406.72,-84.07,0.4721,0.611,-2.084,-1.897,-84.07,-0.891,-31.25
M15,Baseline_MACD_EMA,lot co dinh,0.3,30,2.0,269,-8406.72,-84.07,0.4721,0.611,-2.084,-1.897,-84.07,-0.891,-31.25
M15,Baseline_MACD_EMA,lot co dinh,0.5,5,1.5,404,-8172.85,-81.73,0.4356,0.812,-1.849,-3.443,-82.01,-0.88,-20.23
M15,Baseline_MACD_EMA,lot co dinh,0.5,5,2.0,529,-8009.0,-80.09,0.4234,0.868,-0.939,-2.099,-80.69,-0.872,-15.14
M15,Baseline_MACD_EMA,lot co dinh,0.5,10,1.5,299,-8236.4,-82.36,0.4716,0.767,-1.232,-1.723,-82.36,-0.885,-27.55
M15,Baseline_MACD_EMA,lot co dinh,0.5,10,2.0,290,-8193.25,-81.93,0.4793,0.755,-1.208,-1.626,-81.93,-0.884,-28.25
M15,Baseline_MACD_EMA,lot co dinh,0.5,15,1.5,268,-8011.75,-80.12,0.4739,0.742,-1.121,-1.457,-80.12,-0.878,-29.89
M15,Baseline_MACD_EMA,lot co dinh,0.5,15,2.0,272,-8307.9,-83.08,0.4706,0.74,-1.183,-1.496,-83.08,-0.888,-30.54
M15,Baseline_MACD_EMA,lot co dinh,0.5,20,1.5,255,-8021.1,-80.21,0.4824,0.722,-1.242,-1.374,-80.21,-0.879,-31.46
M15,Baseline_MACD_EMA,lot co dinh,0.5,20,2.0,255,-8021.1,-80.21,0.4824,0.722,-1.242,-1.374,-80.21,-0.879,-31.46
