khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
H1,low,4,404.0,4.21521210462768,4.412940012141824,2.4097399426446198,0.1967335862287267,6.132546099442327,2240.307425742574
H1,low,5,404.0,4.162593117581714,4.3717114253207106,2.1142959461251176,0.19398683999278357,5.8598200963302425,2240.6467574257426
H1,low,6,404.0,4.293061134245464,4.621668023993416,2.2358846929053438,0.19757543069014566,6.068977823820323,2240.7274232673267
H1,low,7,404.0,4.654136305509419,4.81697622239601,2.3748472241587066,0.21495370387136192,6.392996528435657,2240.629146039604
H1,low,8,404.0,4.756022737384864,4.750194940109719,2.3000072704771704,0.22027879619989105,6.545597665894633,2240.864304455445
H1,low,9,404.0,4.538234929711675,4.49935143763214,2.2063811745361877,0.2099114897249167,6.142048849509645,2240.8649702970297
H1,low,10,404.0,4.737289929912274,4.809252222194026,2.409018425589826,0.21872918931602822,6.561492829977691,2241.497126237624
H1,low,11,404.0,4.949726143806581,5.017337830685932,2.4105665891946644,0.22517745338241937,6.9614210078568375,2241.6266633663367
H1,low,12,404.0,5.094455877561937,5.160645129302901,2.3204886134464187,0.23180639577155773,6.968265689570098,2241.32472029703
H1,low,13,404.0,5.020214125880871,5.09180657266442,2.225677584449662,0.22930523029376315,6.919205888562418,2241.63673019802
H1,low,14,404.0,4.876231454782692,5.090901684674387,2.2990640232995028,0.22232901073010858,6.765780783412397,2241.689863861386
H1,low,15,404.0,5.071691016594656,5.192490496121114,2.3938311420047893,0.23037296638796625,7.154108310017014,2241.5143168316836
H1,low,16,404.0,5.199341905264594,5.435250780543541,2.3758279638071573,0.23754736073032093,7.457260453698884,2241.7807623762374
H1,low,17,404.0,5.1419126357015585,5.420491108958586,2.4034776199680965,0.23330934054649993,7.706291622584535,2241.871207920792
H1,low,18,404.0,5.072911832993492,5.30601500988893,2.1532842788162467,0.23262518291835343,7.34649414796214,2242.034103960396
H1,low,19,404.0,5.131847780192598,5.333849244253083,2.268649163071445,0.2346984794780977,7.184468230177547,2242.212440594059
H1,low,20,404.0,5.060836462885667,5.495904992151467,2.373868020238929,0.2306845431810227,7.552701045998106,2242.2449430693073
H1,low,21,404.0,5.153740910678189,5.603547941740472,2.3251243726191193,0.23309066192363495,7.5630365817515735,2242.4679133663367
H1,low,22,404.0,5.4522529395862085,5.48744125546149,2.210473412251595,0.24649958329446098,7.683114670515446,2242.5903193069307
H1,low,23,404.0,5.463859079833603,5.494719167705411,2.599729819381446,0.24726649667950107,8.029818408567786,2242.8107202970295
H1,low,24,404.0,5.399941520694539,5.638521843818549,2.5801595480594175,0.24108292551876567,7.970438989305246,2242.202698019802
H1,low,25,404.0,5.228970062422437,5.570950683854765,2.2584233872444988,0.235335002634747,7.586079058656626,2242.24546039604
H1,low,26,404.0,5.256805889364492,5.620045465143536,2.1263177297445224,0.2385751101747954,7.63772519120162,2242.4232698019805
H1,low,27,404.0,5.366320703416719,5.668074061682661,2.2503084155783655,0.24493118180360274,7.585322979620097,2242.355215346535
H1,low,28,404.0,5.414771774414998,5.726286035086592,2.2865877586051577,0.24336167271338283,7.758968633696009,2242.297678217822
H1,low,29,404.0,5.3965825995540415,5.927613214094856,2.0881353887543117,0.24344942349420876,7.5335976849942305,2242.5173811881186
