khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
M15,close,138,401.0,6.194876853409296,5.968861138841808,2.7862978295271787,0.28340626518643147,9.488254584436278,2245.906017456359
M15,close,139,401.0,6.247923800951048,6.011123940041096,2.682892181846307,0.2868170716125816,9.629384385961723,2245.72349127182
M15,close,140,401.0,6.246091209880412,6.0285080323479665,2.7410244089454032,0.2866056864094982,9.426140874524567,2245.6916059850373
M15,close,141,401.0,6.561180493507015,6.184830950561893,2.977108136540535,0.301313158480215,9.774339296808085,2245.896458852868
M15,close,142,401.0,6.410188266169941,6.140174867480643,2.6415296670773314,0.29306213613500776,9.725254999334439,2246.0093790523692
M15,close,143,401.0,6.321480293797153,6.1743250727835415,2.7340448414415364,0.290151843616291,9.495695305750582,2245.7998204488777
M15,close,144,401.0,6.287278497136754,6.100336341578169,2.788066292186623,0.28866527948205134,9.518672517042171,2245.9826184538656
M15,close,145,401.0,6.456187454421445,6.4546390982760045,2.886891446140183,0.29813924924693924,9.893544123822666,2245.839229426434
M15,close,146,401.0,6.620302025347772,6.534706906367335,2.694495318658007,0.3085598482547474,10.578042519249017,2245.705453865337
M15,close,147,401.0,6.592560769723257,6.344118396774668,2.838464597608897,0.30631364806712236,11.12803944232445,2245.8230024937657
M15,close,148,401.0,6.5765522479557905,6.325304335314787,2.806170130682777,0.30631486809465497,11.28317985052259,2245.6907182044883
M15,close,149,401.0,6.6582961333261,6.462012185291002,2.6814967829637997,0.30901090226642003,10.843893756894852,2245.9823241895265
M15,close,150,401.0,6.597902893467879,6.305515118991299,2.7108005553950183,0.30550525823999075,10.923633959814719,2246.1788753117207
M15,close,151,401.0,6.632109365015864,6.498025277494092,2.620938514305507,0.3072912779556227,10.78817766254348,2246.1903192019954
M15,close,152,401.0,6.633566692329324,6.274518086241907,2.6898971616186196,0.3074539301283986,10.713504084858045,2245.9949750623446
M15,close,153,401.0,6.805437626456537,6.485937424895911,2.6854955689570428,0.3160905564720717,10.880333036800812,2245.971875311721
M15,close,154,401.0,6.8223997853135385,6.52189272135648,2.813415723045438,0.31468809649816676,10.63359720783104,2245.9276109725683
M15,close,155,401.0,6.801723840306265,6.494471390220379,2.7059349330164983,0.3140563440022839,10.713860613242915,2246.256139650873
M15,close,156,401.0,6.733689515541887,6.42808656295378,2.793097223589415,0.3097746722548499,10.402976605918232,2246.2926807980048
M15,close,157,401.0,6.551586283582774,6.323970039352799,2.576193446694392,0.3026116054882488,10.101659506052528,2246.3100199501246
M15,close,158,401.0,6.4345453551074465,6.404246802925249,2.6651608399609974,0.29811686883402977,10.197456527911756,2246.286773067332
M15,close,159,401.0,6.500050332187592,6.409559632322205,2.859435535789036,0.3024308835686948,10.093719801623477,2246.360042394015
M15,close,160,401.0,6.690250895405477,6.494972496642767,2.7642800175559823,0.31061859236328954,10.507941828718074,2246.347047381546
M15,close,161,401.0,6.692147172467847,6.575640957786414,2.733698076576779,0.31022219964480235,10.375194733930739,2246.5601970074813
M15,close,162,401.0,6.867420743699668,6.772716026844738,2.741187876405782,0.31830745718962294,10.607930213822433,2246.568685785536
M15,close,163,401.0,6.845093568346994,6.639360109366333,2.7505489476034963,0.3168686876406928,10.313591025874462,2246.636945137157
M15,close,164,401.0,7.017962134457584,6.763522188939664,2.7886707344686985,0.32282447231780514,10.815188938991046,2246.7329127182043
M15,close,165,401.0,6.967640852907385,6.674687898604223,2.872889885794326,0.32070263371539515,11.029957606351857,2246.8401197007474
M15,close,166,401.0,6.906383478259796,6.811104489514258,2.761300158377867,0.318222476405294,10.525206375846789,2246.980832917706
M15,close,167,401.0,6.974699053499249,6.747850337341844,2.7282124876025633,0.32213726181871893,10.651923762191,2247.082825436409
M15,close,168,401.0,6.972464900565826,6.699552009688391,2.847409960561186,0.32202051792671516,10.725552494914522,2247.2049501246884
M15,close,169,401.0,7.233206526101717,7.00866386225286,2.910147568047383,0.3342357076010176,11.43502349506977,2247.0411122194514
