time,open,high,low,close,volume,spread
2018-11-29 15:00:00+00:00,1226.935,1227.055,1225.045,1225.598,15.0,289
2018-11-29 15:15:00+00:00,1225.538,1227.198,1225.428,1227.198,15.0,300
2018-11-29 15:30:00+00:00,1227.198,1228.008,1225.908,1227.298,15.0,259
2018-11-29 15:45:00+00:00,1227.298,1227.828,1227.018,1227.678,15.0,264
2018-11-29 16:00:00+00:00,1227.678,1228.028,1226.928,1227.228,15.0,281
2018-11-29 16:15:00+00:00,1227.298,1228.918,1224.868,1224.898,15.0,282
2018-11-29 16:30:00+00:00,1224.915,1226.675,1224.685,1226.575,15.0,283
2018-11-29 16:45:00+00:00,1226.565,1226.868,1226.045,1226.798,15.0,275
2018-11-29 17:00:00+00:00,1226.748,1226.968,1225.828,1225.828,15.0,276
2018-11-29 17:15:00+00:00,1225.748,1226.168,1225.708,1225.728,15.0,266
2018-11-29 17:30:00+00:00,1225.738,1225.748,1224.628,1224.695,15.0,297
2018-11-29 17:45:00+00:00,1224.695,1226.095,1224.655,1225.798,15.0,302
2018-11-29 18:00:00+00:00,1225.828,1226.075,1222.335,1223.518,15.0,311
2018-11-29 18:15:00+00:00,1223.518,1225.748,1223.385,1224.475,15.0,303
2018-11-29 18:30:00+00:00,1224.475,1224.778,1223.705,1224.115,15.0,303
2018-11-29 18:45:00+00:00,1224.055,1224.055,1223.125,1223.535,15.0,308
2018-11-29 19:00:00+00:00,1223.555,1225.405,1223.005,1223.538,15.0,322
2018-11-29 19:15:00+00:00,1223.528,1223.558,1222.168,1222.955,15.0,318
2018-11-29 19:30:00+00:00,1222.955,1224.245,1222.855,1224.245,15.0,296
2018-11-29 19:45:00+00:00,1224.238,1224.368,1223.745,1224.045,15.0,298
2018-11-29 20:00:00+00:00,1224.048,1224.168,1223.535,1223.745,15.0,309
2018-11-29 20:15:00+00:00,1223.745,1224.248,1223.638,1224.125,15.0,307
2018-11-29 20:30:00+00:00,1224.125,1224.758,1224.018,1224.698,15.0,287
2018-11-29 20:45:00+00:00,1224.698,1224.798,1223.788,1223.918,15.0,293
2018-11-29 21:00:00+00:00,1223.888,1223.888,1223.138,1223.178,14.0,302
2018-11-29 21:15:00+00:00,1223.198,1223.695,1223.178,1223.695,14.0,290
2018-11-29 21:30:00+00:00,1223.678,1223.985,1223.605,1223.815,14.0,262
2018-11-29 21:45:00+00:00,1223.815,1224.258,1223.755,1223.875,15.0,306
2018-11-29 23:00:00+00:00,1224.148,1224.288,1223.938,1224.048,15.0,400
2018-11-29 23:15:00+00:00,1224.055,1224.148,1223.748,1223.838,15.0,319
2018-11-29 23:30:00+00:00,1223.838,1223.848,1223.368,1223.478,15.0,332
2018-11-29 23:45:00+00:00,1223.485,1224.318,1223.478,1224.228,15.0,298
