time,macro_tone
2019-06-17 00:00:00+00:00,-1.8538
2019-06-18 00:00:00+00:00,-1.8203
2019-06-19 00:00:00+00:00,-1.5191
2019-06-20 00:00:00+00:00,-1.3863
2019-06-21 00:00:00+00:00,-1.6005
2019-06-22 00:00:00+00:00,-2.3186
2019-06-23 00:00:00+00:00,-1.629
2019-06-24 00:00:00+00:00,-1.712
2019-06-25 00:00:00+00:00,-1.5577
2019-06-26 00:00:00+00:00,-1.3511
2019-06-27 00:00:00+00:00,-1.1594
2019-06-28 00:00:00+00:00,-1.1958
2019-06-29 00:00:00+00:00,-0.6973
2019-06-30 00:00:00+00:00,-1.6794
2019-07-01 00:00:00+00:00,-1.089
2019-07-02 00:00:00+00:00,-1.3843
2019-07-03 00:00:00+00:00,-1.1197
2019-07-04 00:00:00+00:00,-1.2119
2019-07-05 00:00:00+00:00,-1.816
2019-07-06 00:00:00+00:00,-1.6592
2019-07-07 00:00:00+00:00,-0.7385
2019-07-08 00:00:00+00:00,-1.5597
2019-07-09 00:00:00+00:00,-1.4655
2019-07-10 00:00:00+00:00,-1.773
2019-07-11 00:00:00+00:00,-1.3703
2019-07-12 00:00:00+00:00,-1.5953
2019-07-13 00:00:00+00:00,-1.8146
2019-07-14 00:00:00+00:00,-1.7633
2019-07-15 00:00:00+00:00,-1.1189
2019-07-16 00:00:00+00:00,-1.0145
2019-07-17 00:00:00+00:00,-1.3074
2019-07-18 00:00:00+00:00,-1.5427
2019-07-19 00:00:00+00:00,-1.105
2019-07-20 00:00:00+00:00,-1.1022
2019-07-21 00:00:00+00:00,-0.5385
2019-07-22 00:00:00+00:00,-1.2944
2019-07-23 00:00:00+00:00,-1.6829
2019-07-24 00:00:00+00:00,-0.8404
2019-07-25 00:00:00+00:00,-1.1396
2019-07-26 00:00:00+00:00,-1.1309
2019-07-27 00:00:00+00:00,-1.3715
2019-07-28 00:00:00+00:00,-0.607
2019-07-29 00:00:00+00:00,-1.3669
2019-07-30 00:00:00+00:00,-1.2229
2019-07-31 00:00:00+00:00,-2.0752
2019-08-01 00:00:00+00:00,-2.3603
2019-08-02 00:00:00+00:00,-2.0624
2019-08-03 00:00:00+00:00,-2.137
2019-08-04 00:00:00+00:00,-1.6123
2019-08-05 00:00:00+00:00,-2.258
2019-08-06 00:00:00+00:00,-2.1166
2019-08-07 00:00:00+00:00,-2.1351
2019-08-08 00:00:00+00:00,-1.7102
2019-08-09 00:00:00+00:00,-1.6344
2019-08-10 00:00:00+00:00,-1.2376
2019-08-11 00:00:00+00:00,-2.0248
2019-08-12 00:00:00+00:00,-1.8403
2019-08-13 00:00:00+00:00,-1.6193
2019-08-14 00:00:00+00:00,-2.3973
2019-08-15 00:00:00+00:00,-2.8835
2019-08-16 00:00:00+00:00,-2.7663
2019-08-17 00:00:00+00:00,-2.3607
2019-08-18 00:00:00+00:00,-2.6437
2019-08-19 00:00:00+00:00,-2.103
2019-08-20 00:00:00+00:00,-2.2149
2019-08-21 00:00:00+00:00,-2.3079
2019-08-22 00:00:00+00:00,-2.1532
2019-08-23 00:00:00+00:00,-2.8256
2019-08-24 00:00:00+00:00,-2.2804
