time,macro_vol
2019-11-14 00:00:00+00:00,0.6634
2019-11-15 00:00:00+00:00,0.5983
2019-11-16 00:00:00+00:00,0.3249
2019-11-17 00:00:00+00:00,0.407
2019-11-18 00:00:00+00:00,0.5902
2019-11-19 00:00:00+00:00,0.4819
2019-11-20 00:00:00+00:00,0.4997
2019-11-21 00:00:00+00:00,0.5108
2019-11-22 00:00:00+00:00,0.4599
2019-11-23 00:00:00+00:00,0.2468
2019-11-24 00:00:00+00:00,0.2692
2019-11-25 00:00:00+00:00,0.4052
2019-11-26 00:00:00+00:00,0.4698
2019-11-27 00:00:00+00:00,0.5481
2019-11-28 00:00:00+00:00,0.4736
2019-11-29 00:00:00+00:00,0.4353
2019-11-30 00:00:00+00:00,0.2859
2019-12-01 00:00:00+00:00,0.2981
2019-12-02 00:00:00+00:00,0.5152
2019-12-03 00:00:00+00:00,0.5238
2019-12-04 00:00:00+00:00,0.4188
2019-12-05 00:00:00+00:00,0.582
2019-12-06 00:00:00+00:00,0.6615
2019-12-07 00:00:00+00:00,0.2941
2019-12-08 00:00:00+00:00,0.3883
2019-12-09 00:00:00+00:00,0.6349
2019-12-10 00:00:00+00:00,0.5944
2019-12-11 00:00:00+00:00,0.7529
2019-12-12 00:00:00+00:00,0.8288
2019-12-13 00:00:00+00:00,0.5166
2019-12-14 00:00:00+00:00,0.3013
2019-12-15 00:00:00+00:00,0.3026
2019-12-16 00:00:00+00:00,0.4756
2019-12-17 00:00:00+00:00,0.5811
2019-12-18 00:00:00+00:00,0.625
2019-12-19 00:00:00+00:00,0.6623
2019-12-20 00:00:00+00:00,0.6033
2019-12-21 00:00:00+00:00,0.35
2019-12-22 00:00:00+00:00,0.2866
2019-12-23 00:00:00+00:00,0.4907
2019-12-24 00:00:00+00:00,0.4242
2019-12-25 00:00:00+00:00,0.3317
2019-12-26 00:00:00+00:00,0.3556
2019-12-27 00:00:00+00:00,0.4635
2019-12-28 00:00:00+00:00,0.3405
2019-12-29 00:00:00+00:00,0.3795
2019-12-30 00:00:00+00:00,0.6145
2019-12-31 00:00:00+00:00,0.7539
2020-01-01 00:00:00+00:00,0.4993
2020-01-02 00:00:00+00:00,0.5944
2020-01-03 00:00:00+00:00,0.5024
2020-01-04 00:00:00+00:00,0.299
2020-01-05 00:00:00+00:00,0.3282
2020-01-06 00:00:00+00:00,0.46
2020-01-07 00:00:00+00:00,0.4293
2020-01-08 00:00:00+00:00,0.4179
2020-01-09 00:00:00+00:00,0.4506
2020-01-10 00:00:00+00:00,0.5082
2020-01-11 00:00:00+00:00,0.2725
2020-01-12 00:00:00+00:00,0.4258
2020-01-13 00:00:00+00:00,0.5781
2020-01-14 00:00:00+00:00,0.5794
2020-01-15 00:00:00+00:00,0.5547
2020-01-16 00:00:00+00:00,0.5038
2020-01-17 00:00:00+00:00,0.4896
2020-01-18 00:00:00+00:00,0.2758
2020-01-19 00:00:00+00:00,0.3156
2020-01-20 00:00:00+00:00,0.4889
2020-01-21 00:00:00+00:00,0.48
2020-01-22 00:00:00+00:00,0.5456
2020-01-23 00:00:00+00:00,0.5244
